scene,floor,question,choices,question_formatted,answer,label
00004-VqCaAuuoeWk,1,Is the lamp next to the bed on?,"['(Do not choose this option)', 'Yes, it is on', 'No, it is not on', '(Do not choose this option)']","Is the lamp next to the bed on? A) (Do not choose this option) B) Yes, it is on C) No, it is not on D) (Do not choose this option). Answer:",B,existence
00005-yPKGKBCyYx8,0,Is the outdoor grill covered?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the outdoor grill covered? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,count
00006-HkseAnWCgqk,0,Did I fold the blanket on the bed in the bedroom?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Did I fold the blanket on the bed in the bedroom? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,B,identification
00006-HkseAnWCgqk,1,Is the living room light on?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Is the living room light on? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,D,existence
00010-DBjEcHFg4oq,0,Is the lamp next to the sofa turned on or off?,"['(Do not choose this option)', 'Off', 'On', '(Do not choose this option)']",Is the lamp next to the sofa turned on or off? A) (Do not choose this option) B) Off C) On D) (Do not choose this option). Answer:,C,count
00015-LPwS1aEGXBb,0,Is there any wine left under the kitchen island?,"['(Do not choose this option)', 'Yes, there are a few', 'No, there is none', 'Yes, but there is only one left']","Is there any wine left under the kitchen island? A) (Do not choose this option) B) Yes, there are a few C) No, there is none D) Yes, but there is only one left. Answer:",B,state
00015-LPwS1aEGXBb,1,Is the hallway mirror is mounted on the wall or standing on the floor?,"['Mounted on the wall', '(Do not choose this option)', 'Standing on the floor', '(Do not choose this option)']",Is the hallway mirror is mounted on the wall or standing on the floor? A) Mounted on the wall B) (Do not choose this option) C) Standing on the floor D) (Do not choose this option). Answer:,C,state
00023-zepmXAdrpjR,1,Is the kettle on the kitchen counter?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is the kettle on the kitchen counter? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,existence
00025-ixTj1aTMup2,0,How many bedside tables are there in the bedroom with the white bedding?,"['Three', 'One', 'None', 'Two']",How many bedside tables are there in the bedroom with the white bedding? A) Three B) One C) None D) Two. Answer:,D,state
00025-ixTj1aTMup2,0,Is the gray curtain pulled down in the bedroom with two twin beds?,"['(Do not choose this option)', 'Yes, it is down', 'No, it is up', '(Do not choose this option)']","Is the gray curtain pulled down in the bedroom with two twin beds? A) (Do not choose this option) B) Yes, it is down C) No, it is up D) (Do not choose this option). Answer:",B,count
00025-ixTj1aTMup2,1,Did I leave the fruit bowl next to the microwave?,"['Next to the TV', 'Yes', 'In the bathroom', 'No']",Did I leave the fruit bowl next to the microwave? A) Next to the TV B) Yes C) In the bathroom D) No. Answer:,D,existence
00035-3XYAD64HpDr,0,Is the kettle on the kitchen countertop?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is the kettle on the kitchen countertop? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,identification
00035-3XYAD64HpDr,0,Are there more than twenty books by the window next to the dining table?,"['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']",Are there more than twenty books by the window next to the dining table? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:,C,state
00037-oKFJo8jpzRW,0,Is there a cushion on the wicker chair in the room with the green walls?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Is there a cushion on the wicker chair in the room with the green walls? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,A,state
00048-aKwZ7VJDAjr,0,Did I leave the lamp next to the dresser mirror on?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes, it is on', 'No, it is off']","Did I leave the lamp next to the dresser mirror on? A) (Do not choose this option) B) (Do not choose this option) C) Yes, it is on D) No, it is off. Answer:",C,location
00051-CETmJJqkhcK,0,How many red pillows did I leave on the living room sofa?,"['One', 'Three', 'None', 'Two']",How many red pillows did I leave on the living room sofa? A) One B) Three C) None D) Two. Answer:,D,location
00052-H1D2FZ8TAv1,2,Is there a bottle of shampoo inside the glass shower already?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Is there a bottle of shampoo inside the glass shower already? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,C,existence
00056-kdw2Uapns3b,1,How many pieces of mat I put at the entrance door?,"['One', 'None', 'Two', 'Three']",How many pieces of mat I put at the entrance door? A) One B) None C) Two D) Three. Answer:,C,count
00056-kdw2Uapns3b,2,Is the TV in the bedroom with blue wall left turned on?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is the TV in the bedroom with blue wall left turned on? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,existence
00057-1UnKg1rAb8A,0,Is the kitchen sink currently free of dishes?,"['(Do not choose this option)', '(Do not choose this option)', ""Yes, it's empty"", 'No, there are dishes']","Is the kitchen sink currently free of dishes? A) (Do not choose this option) B) (Do not choose this option) C) Yes, it's empty D) No, there are dishes. Answer:",C,location
00057-1UnKg1rAb8A,0,Is the front door is currently open or closed?,"[""It's open"", '(Do not choose this option)', 'It is half open', ""It's closed""]",Is the front door is currently open or closed? A) It's open B) (Do not choose this option) C) It is half open D) It's closed. Answer:,D,location
00060-TgWKHxhJAng,0,I played pool with friends last night. Is the pool table cleaned up?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",I played pool with friends last night. Is the pool table cleaned up? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00060-TgWKHxhJAng,2,Did I leave the window in the home office open or closed?,"['Open', '(Do not choose this option)', 'Closed', '(Do not choose this option)']",Did I leave the window in the home office open or closed? A) Open B) (Do not choose this option) C) Closed D) (Do not choose this option). Answer:,C,state
00060-TgWKHxhJAng,2,Did I leave the laptop under the TV in the bedroom?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Did I leave the laptop under the TV in the bedroom? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,D,location
00062-ACZZiU6BXLz,0,I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table?,"['Four', 'Six', 'Eight', 'Ten']",I'm expecting guests and need to confirm the seating. How many dining chairs are around the dining table? A) Four B) Six C) Eight D) Ten. Answer:,B,existence
00062-ACZZiU6BXLz,0,Have I already put the fruit bowl on the kitchen counter?,"['No', 'There is some fruit but in a bowl', 'Yes', 'There is a bowl but no fruit']",Have I already put the fruit bowl on the kitchen counter? A) No B) There is some fruit but in a bowl C) Yes D) There is a bowl but no fruit. Answer:,A,existence
00062-ACZZiU6BXLz,1,How many pillows did I leave on the bed with green floral bedding?,"['Three', 'One', 'None', 'Two']",How many pillows did I leave on the bed with green floral bedding? A) Three B) One C) None D) Two. Answer:,B,state
00069-Y8Y6ukxGMvn,0,Is there a floor-standing mirror in the bedroom?,"['(Do not choose this option)', 'Yes, near the bed.', 'Yes, near the door.', ""No, there isn't one.""]","Is there a floor-standing mirror in the bedroom? A) (Do not choose this option) B) Yes, near the bed. C) Yes, near the door. D) No, there isn't one.. Answer:",B,state
00074-kHvNo8x6Qoe,1,Did I leave my backpack on the table at the porch?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Did I leave my backpack on the table at the porch? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,state
00074-kHvNo8x6Qoe,1,I'm expecting guests and I need extra seating. How many stools are available at the kitchen island?,"['One', 'Two', 'None', 'Three']",I'm expecting guests and I need extra seating. How many stools are available at the kitchen island? A) One B) Two C) None D) Three. Answer:,C,state
00081-5biL7VEkByM,0,Did any book fall onto the floor in the hallway where the bookselves are?,"['(Do not choose this option)', '(Do not choose this option)', 'No, there is none on the floor', 'Yes, there are a few on the floor']","Did any book fall onto the floor in the hallway where the bookselves are? A) (Do not choose this option) B) (Do not choose this option) C) No, there is none on the floor D) Yes, there are a few on the floor. Answer:",C,location
00084-CtZLhCbWFm7,0,Is the air conditioning in the living room turned off?,"['Yes, it is off', '(Do not choose this option)', 'No, it is still on', '(Do not choose this option)']","Is the air conditioning in the living room turned off? A) Yes, it is off B) (Do not choose this option) C) No, it is still on D) (Do not choose this option). Answer:",C,count
00086-315QujoX279,0,Did I leave the air conditioning in the living room on?,"['No, it is off', '(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)']","Did I leave the air conditioning in the living room on? A) No, it is off B) (Do not choose this option) C) Yes, it is on D) (Do not choose this option). Answer:",A,location
00094-WT4QWwXrMzs,0,Is the ironing board set up in the room with the sectional sofa?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is the ironing board set up in the room with the sectional sofa? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,B,existence
00094-WT4QWwXrMzs,0,Is the gaming chair under the loft bed?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Is the gaming chair under the loft bed? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,A,existence
00100-y3K5dmhuukt,1,Does the bathtub need to be cleaned?,"['No, it looks very clean', '(Do not choose this option)', '(Do not choose this option)', 'Yes, it looks very stained']","Does the bathtub need to be cleaned? A) No, it looks very clean B) (Do not choose this option) C) (Do not choose this option) D) Yes, it looks very stained. Answer:",A,state
00106-ZVScmfktNQ1,0,Is the door to the closet next to the kitchen left open?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the door to the closet next to the kitchen left open? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,location
00109-GTV2Y73Sn5t,0,I need to water the plants. How many potted plants are on the kitchen island?,"['Four', 'Two', 'Three', 'One']",I need to water the plants. How many potted plants are on the kitchen island? A) Four B) Two C) Three D) One. Answer:,D,location
00109-GTV2Y73Sn5t,0,I'm expecting a package that should have been left by the door. Is there a parcel on the bench by the entrance?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",I'm expecting a package that should have been left by the door. Is there a parcel on the bench by the entrance? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,B,location
00130-MjzBosUX3WW,0,Are the mirror lights in the bathroom on?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Are the mirror lights in the bathroom on? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,C,location
00135-HeSYRw7eMtG,2,How many table lamps are there in the bedroom?,"['Three', 'Four', 'One', 'Two']",How many table lamps are there in the bedroom? A) Three B) Four C) One D) Two. Answer:,D,state
00148-csHQLLFPE3g,0,How many sets of utensils are already set up on the dining table?,"['Two', 'Six', 'None', 'Four']",How many sets of utensils are already set up on the dining table? A) Two B) Six C) None D) Four. Answer:,C,count
00149-UuwwmrTsfBN,1,I am waiting for the guests. Have I put utensils on the dining table?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",I am waiting for the guests. Have I put utensils on the dining table? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
