scene,floor,question,choices,question_formatted,answer,label


Rs_int,0,"How many plants are there?","['1','3','6','8']","How many plants are there? A) 1 B) 3 C) 6 D) 8. Answer:",B,simple_count

Rs_int,0,"How many wooden cabinets are there?","['1','3','6','11']","How many wooden cabinets are there? A) 1 B) 3 C) 6 D) 11. Answer:",D,unary_count

Rs_int,0,"How many cabinets have a plant on top of them?","['2','4','6','8']","How many cabinets have a plant on top of them? A) 2 B) 4 C) 6 D) 8. Answer:",A,binary_count

Rs_int,0,"How many black chairs are near a table?","['1','4','6','7']","How many black chairs are near a table? A) 1 B) 4 C) 6 D) 7. Answer:",B,mixed_count

Rs_int,0,"What percent of cabinets are wooden?","['25%','50%','75%','100%']","What percent of cabinets are wooden? A) 25% B) 50% C) 75% D) 100%. Answer:",D,unary_percent

Rs_int,0,"What percent of cabinets have a plant on top of them?","['0%','10%','18%','50%']","What percent of cabinets have a plant on top of them? A) 0% B) 10% C) 18% D) 50%. Answer:",C,binary_percent

Rs_int,0,"What percent of chairs are black and near a table?","['20%','50%','67%','100%']","What percent of black chairs are near a table? A) 20% B) 50% C) 67% D) 100%. Answer:",C,mixed_percent




house_double_floor_lower,0,"How many pictures are there?","['6','9','13','4']","How many pictures are there? A) 6 B) 9 C) 13 D) 4. Answer:",B,simple_count

house_double_floor_lower,0,"How many lights are off?","['74','16','38','0']","How many lights are off? A) 74 B) 16 C) 38 D) 0. Answer:",C,unary_count

house_double_floor_lower,0,"How many lights are above the couch?","['7','6','4','1']","How many lights are above the couch? A) 7 B) 6 C) 4 D) 1. Answer:",A,binary_count

house_double_floor_lower,0," How many lights are off and above the couch?","['1','3','4','7']"," How many lights are off and above the couch? A) 1 B) 3 C) 4 D) 7. Answer:",D,mixed_count

house_double_floor_lower,0,"What percent of couches are blue?","['0%','20%','70%','100%']","What percent of couches are blue? A) 0% B) 20% C) 70% D) 100%. Answer:",D,unary_percent

house_double_floor_lower,0,"What percent of sinks have a bidet near them?","['17%','50%','60%','100%']","What percent of sinks have a bidet near them? A) 17% B) 50% C) 60% D) 100%. Answer:",B,binary_percent

house_double_floor_lower,0,"What percent of sinks are white and near a toilet?","['0%','25%','50%','100%']","What percent of sinks are white and near a toilet? A) 0% B) 25% C) 50% D) 100%. Answer:",C,mixed_percent




house_single_floor,0,"How many toilets are there?","['0','1','2','4']","How many toilets are there? A) 0 B) 1 C) 2 D) 4. Answer:",C,simple_count

house_single_floor,0,"How many chairs are reclined?","['10','3','2','4']","How many chairs are reclined? A) 10 B) 3 C) 2 D) 4. Answer:",D,unary_count

house_single_floor,0,"How many lamps are next to a bed?","['3','4','5','6']","How many lamps are next to a bed? A) 3 B) 4 C) 5 D) 6. Answer:",A,binary_count

house_single_floor,0,"How many chairs are next to a table and reclined?","['0','7','5','4']","How many chairs are next to a table and reclined? A) 0 B) 7 C) 5 D) 4. Answer:",D,mixed_count

house_single_floor,0,"What percent of sinks are stainless steal?","['0%','25%','75%','100%']","What percent of sinks are stainless steal? A) 0% B) 25% C) 75% D) 100%. Answer:",B,unary_percent

